15047
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumNeighbors,Phases,SurfaceFeatures,Volumes
1,-0.30613399,-0.7686438,0.51957643,0.21332848,0.010573781,1.9487965,3.9102087,2,1,1,1
2,-0.052254129,0.37834293,0.076107904,0.92105031,4.7671895,0.78377688,1.3511071,59,1,1,414
3,0.25676423,0.38275474,0.87859088,0.12509626,6.1268291,0.99721783,1.5305263,5,1,0,2
4,0,0,0,1,3.4907279,2.2760985,1.1756791,13,1,0,13
5,-0.23982863,0.84908283,0.4305923,0.19008115,3.8325911,2.1614678,0.14042887,20,1,0,35
6,-0.090862677,0.57969588,0.28275764,0.75877845,4.5111585,1.2541374,1.0586119,5,1,1,6
7,-0.8502298,0.16149153,-0.11000536,0.48880324,0.033659641,2.0920186,0.40906516,17,1,1,201
8,0.86911649,0.14988269,-0.031093007,0.47032428,3.3783805,2.1599488,3.0368319,7,1,1,5
9,0.25676423,0.38275474,0.87859088,0.12509626,0.88191861,1.38296,1.8677293,6,1,0,4
10,0.64869666,0.27866909,0.48999158,0.5113163,2.7832341,1.567724,1.9717419,4,1,0,2
11,-0.091568984,0.54671764,-0.40202272,0.72876108,5.3824482,1.1751226,1.908959,4,1,0,2
12,0.49064279,-0.20566006,-0.83925194,0.11238224,4.1823554,1.121927,4.9761906,9,1,1,10
13,0.25676423,0.38275474,0.87859088,0.12509626,1.6884674,2.5698068,4.0414639,1,1,0,1
14,0.25676423,0.38275474,0.87859088,0.12509626,3.6625576,0.42571959,1.6875459,8,1,0,6
15,-0.39891562,-0.81562328,-0.08668568,0.41001284,1.3242658,2.2767372,5.3756266,114,1,1,1798
16,0.25676423,0.38275474,0.87859088,0.12509626,1.2354045,0.76265782,3.7162001,10,1,0,16
17,0.25676423,0.38275474,0.87859088,0.12509626,3.898376,2.5037563,1.6332618,8,1,0,4
18,0.0037114909,0.38964537,-0.67636967,0.62504941,5.5276756,0.80053139,2.405133,8,1,1,8
19,0,0,0,1,6.1228204,1.5750363,2.930366,1,1,0,1
20,0,0,0,1,0.41523215,0.64284265,5.2096767,3,1,0,2
21,0.25676423,0.38275474,0.87859088,0.12509626,4.2557025,1.261551,5.9645061,3,1,0,1
22,0,0,0,1,5.6302609,0.92209536,3.6813214,1,1,0,1
23,0.25676423,0.38275474,0.87859088,0.12509626,3.9708893,1.3525255,4.8523736,33,1,0,79
24,0.0097982939,0.39394653,0.18045929,0.90119064,4.4898906,0.81010795,1.3980319,2,1,0,1
25,0.44018027,0.59503531,0.66637671,0.090091459,2.6390619,1.6665941,0.7712931,17,1,1,33
26,-0.6885497,-0.31146029,-0.51629353,0.40290543,1.3329337,1.7134966,0.48333323,10,1,0,8
27,-0.27133092,0.82044637,0.24435475,0.43992963,0.64514232,2.3271985,2.1425014,15,1,0,18
28,0.25676423,0.38275474,0.87859088,0.12509626,0.0030269499,1.893784,0.43468201,2,1,0,1
29,0.25676423,0.38275474,0.87859088,0.12509626,2.3709278,0.58863789,2.6860831,74,1,0,433
30,0.52803159,-0.033309545,0.39715892,0.74989194,2.5915306,1.1150348,2.7175286,1,1,0,1
31,0.4749172,-0.38523769,0.26926008,0.7440058,2.1128371,1.3159558,3.4758646,1,1,1,1
32,0,0,0,1,1.4902356,1.2396435,3.0175507,1,1,0,1
33,0,0,0,1,3.6054416,0.59993845,5.0378418,2,1,0,1
34,-0.035009801,0.64382792,0.38321605,0.66136628,4.2415552,1.4014685,0.99131447,26,1,0,38
35,-0.39930984,0.36681971,-0.34382653,0.76666701,5.96175,1.1461594,1.1645954,16,1,0,63
36,-0.83076268,-0.43663865,0.094810285,0.33195037,0.20569918,2.4366364,5.521069,9,1,1,16
37,-0.012073227,-0.045528784,-0.47263354,0.87999934,5.5521894,1.8345425,3.3268158,3,1,0,2
38,-0.52294517,0.4322376,-0.50213397,0.5362466,0.061839659,1.4913146,1.4432768,7,1,0,14
39,0.32168964,0.38093758,-0.79704946,0.34075588,5.177907,1.0439559,3.4388618,3,1,0,2
40,0.46012601,-0.5212332,-0.038755074,0.71770328,2.3479531,1.5375903,4.0431247,45,1,1,238
41,-0.33632448,-0.037723359,-0.45960793,0.82111102,0.62198639,0.6905033,0.39859292,9,1,1,10
42,-0.62992251,0.21027949,0.66338116,0.34482688,4.8695655,1.4525608,5.5139389,12,1,1,17
43,0.25676423,0.38275474,0.87859088,0.12509626,5.3967714,2.2985783,0.55447018,9,1,0,5
44,0.25676423,0.38275474,0.87859088,0.12509626,0.14247653,2.3317459,2.1408999,1,1,0,1
45,0.25676423,0.38275474,0.87859088,0.12509626,2.4513569,2.0654442,0.49924731,21,1,0,53
46,0.078373104,-0.65953779,0.46087781,0.58860785,1.0247856,1.4527875,3.9298267,25,1,1,151
47,0,0,0,1,3.7106407,1.0387118,2.3330615,17,1,0,15
48,0.39248395,-0.098129094,0.87858939,0.25378677,1.6070011,0.83300656,2.0969973,8,1,0,4
49,-0.83191019,0.17499109,-0.32079819,0.41760275,0.44771537,2.0324094,0.86236733,1,1,1,1
50,0.25676423,0.38275474,0.87859088,0.12509626,4.9927411,0.28743526,3.4857318,6,1,0,2
51,0,0,0,1,1.5256938,2.665134,4.2262578,9,1,0,5
52,0.66321099,-0.01800042,-0.51893282,0.53901386,3.8808773,1.4508545,3.9351466,15,1,0,19
53,0.25676423,0.38275474,0.87859088,0.12509626,5.2764897,2.6196966,3.6630788,4,1,0,2
54,0,0,0,1,2.7510617,1.7979498,4.5226951,1,1,0,1
55,-0.47335839,-0.19230551,0.83965182,0.18421519,5.3142509,1.0725329,4.5424724,12,1,1,33
56,0.25676423,0.38275474,0.87859088,0.12509626,5.2664399,0.34168461,0.23727505,4,1,0,3
57,0.39450797,0.81946933,0.32703102,0.25667906,3.3583715,2.2840967,1.1141238,2,1,0,1
58,0.25676423,0.38275474,0.87859088,0.12509626,0.42886955,1.0300778,1.6448781,11,1,0,18
59,0.43685612,-0.84140086,-0.052746769,0.31371823,2.2162626,2.4940977,4.400075,17,1,0,32
60,0,0,0,1,4.3876929,2.2988884,1.7668914,1,1,0,1
61,0,0,0,1,3.0474331,1.3324993,4.1898456,2,1,0,1
62,0.2092016,0.84516472,0.41628328,0.26199135,3.4606695,2.1131315,0.80437756,3,1,1,12
63,-0.18229647,-0.47308755,0.85717148,0.090626627,6.0207224,1.0633897,3.6147282,9,1,0,9
64,0.16824056,-0.89108253,-0.42014647,0.033822697,3.2478716,2.2713826,6.0162482,9,1,1,21
65,-0.28872603,-0.68565786,-0.47132656,0.47366846,1.9551593,1.6779804,5.8938661,12,1,1,25
66,0,0,0,1,4.4836025,1.1001799,2.8265591,6,1,0,3
67,0.82279778,0.14793086,-0.54734802,0.039121833,4.8189249,1.9798697,4.4631457,1,1,0,2
68,0.079949878,0.48533392,-0.29675606,0.81853211,4.8969316,1.0284839,2.0818698,8,1,1,11
69,-0.19762196,0.53029722,0.0062797586,0.82443374,5.061492,1.2031062,1.2064595,10,1,0,13
70,0,0,0,1,1.3997087,1.8942367,5.2306628,12,1,0,20
71,0.33861491,-0.58707058,-0.19355287,0.70938373,2.3603358,1.4893302,4.4555755,28,1,1,224
72,-0.79196382,0.24847332,-0.55723804,0.023240434,1.2250968,1.9583141,1.8331311,33,1,1,167
73,0.22648972,0.59841192,-0.47189337,0.60656589,5.0117331,1.3885784,2.5937848,11,1,1,26
74,0.25676423,0.38275474,0.87859088,0.12509626,1.9564317,2.4995608,0.79644036,16,1,0,13
75,0,0,0,1,3.5586538,2.7994034,1.3319345,10,1,0,6
76,0.40327063,0.88894314,-0.1882862,0.10817238,5.3358326,2.7038105,3.0460131,12,1,0,27
77,-0.24723604,0.35073107,0.17945684,0.88524419,5.1263971,0.88702101,0.7567687,16,1,1,33
78,0,0,0,1,5.0065608,1.0813397,6.1966653,5,1,0,2
79,0,0,0,1,1.5977926,0.59819919,3.2864368,28,1,0,52
80,0,0,0,1,2.9425447,2.5278039,2.8896568,27,1,0,176
81,0.35255256,0.83625042,-0.11849624,0.40292743,4.5994368,2.2747233,2.2557971,5,1,1,3
82,-0.70621359,0.46890712,-0.077924326,0.52470589,5.8444824,2.0233049,0.73356879,2,1,0,1
83,0.78479856,0.18169922,0.27765846,0.52343333,2.8813927,1.8732326,2.4263632,12,1,0,9
84,-0.31795633,0.35718778,-0.55706108,0.67897248,3.8508008,2.1534035,2.4773102,1,1,0,1
85,0.25676423,0.38275474,0.87859088,0.12509626,4.6527133,1.9293349,3.9546483,6,1,0,5
86,0.25676423,0.38275474,0.87859088,0.12509626,5.11235,1.871717,1.3528221,1,1,0,1
87,-0.60830986,0.55266124,-0.070841931,0.56524873,5.670362,1.9293824,0.86218071,1,1,0,1
88,0.76580626,0.029797873,-0.5766412,0.28308621,4.2949204,1.7463915,4.2171388,3,1,1,1
